ecurr = -1, pn_right = 5215.228861, pn_left = -14500.5819, f = -2.123323764
ecurr = -0.99, pn_right = 4775.372623, pn_left = -13432.20171, f = -2.103261385
ecurr = -0.98, pn_right = 4370.546445, pn_left = -12441.28736, f = -2.083059534
ecurr = -0.97, pn_right = 3998.119526, pn_left = -11522.44419, f = -2.062718504
ecurr = -0.96, pn_right = 3655.647114, pn_left = -10670.63808, f = -2.04223858
ecurr = -0.95, pn_right = 3340.858136, pn_left = -9881.172561, f = -2.021620038
ecurr = -0.94, pn_right = 3051.643603, pn_left = -9149.667343, f = -2.000863143
ecurr = -0.93, pn_right = 2786.045737, pn_left = -8472.038165, f = -1.979968149
ecurr = -0.92, pn_right = 2542.247785, pn_left = -7844.477846, f = -1.958935299
ecurr = -0.91, pn_right = 2318.564472, pn_left = -7263.438526, f = -1.937764823
ecurr = -0.9, pn_right = 2113.433068, pn_left = -6725.614996, f = -1.91645694
ecurr = -0.89, pn_right = 1925.405018, pn_left = -6227.92908, f = -1.895011853
ecurr = -0.88, pn_right = 1753.138106, pn_left = -5767.514988, f = -1.873429754
ecurr = -0.87, pn_right = 1595.38913, pn_left = -5341.705603, f = -1.851710816
ecurr = -0.86, pn_right = 1451.007045, pn_left = -4948.019647, f = -1.829855199
ecurr = -0.85, pn_right = 1318.926551, pn_left = -4584.149677, f = -1.807863046
ecurr = -0.84, pn_right = 1198.162101, pn_left = -4247.950873, f = -1.785734482
ecurr = -0.83, pn_right = 1087.8023, pn_left = -3937.430577, f = -1.763469614
ecurr = -0.82, pn_right = 987.0046721, pn_left = -3650.738552, f = -1.741068528
ecurr = -0.81, pn_right = 894.9907745, pn_left = -3386.157927, f = -1.718531291
ecurr = -0.8, pn_right = 811.0416342, pn_left = -3142.096808, f = -1.695857947
ecurr = -0.79, pn_right = 734.4934908, pn_left = -2917.080538, f = -1.67304852
ecurr = -0.78, pn_right = 664.7338229, pn_left = -2709.744588, f = -1.650103006
ecurr = -0.77, pn_right = 601.1976436, pn_left = -2518.828093, f = -1.627021378
ecurr = -0.76, pn_right = 543.3640449, pn_left = -2343.168024, f = -1.603803582
ecurr = -0.75, pn_right = 490.7529786, pn_left = -2181.694047, f = -1.580449535
ecurr = -0.74, pn_right = 442.9222558, pn_left = -2033.424092, f = -1.556959125
ecurr = -0.73, pn_right = 399.4647528, pn_left = -1897.460737, f = -1.533332208
ecurr = -0.72, pn_right = 360.0058103, pn_left = -1772.988502, f = -1.509568606
ecurr = -0.71, pn_right = 324.2008117, pn_left = -1659.272258, f = -1.485668108
ecurr = -0.7, pn_right = 291.7329309, pn_left = -1555.657017, f = -1.461630464
ecurr = -0.69, pn_right = 262.3110377, pn_left = -1461.569508, f = -1.437455385
ecurr = -0.68, pn_right = 235.6677504, pn_left = -1376.522188, f = -1.413142541
ecurr = -0.67, pn_right = 211.5576261, pn_left = -1300.120636, f = -1.388691558
ecurr = -0.66, pn_right = 189.7554801, pn_left = -1232.075884, f = -1.364102016
ecurr = -0.65, pn_right = 170.0548248, pn_left = -1172.224131, f = -1.339373445
ecurr = -0.64, pn_right = 152.2664211, pn_left = -1120.557958, f = -1.314505323
ecurr = -0.63, pn_right = 136.2169345, pn_left = -1077.276085, f = -1.289497072
ecurr = -0.62, pn_right = 121.7476886, pn_left = -1042.864262, f = -1.264348058
ecurr = -0.61, pn_right = 108.7135096, pn_left = -1018.230868, f = -1.239057581
ecurr = -0.6, pn_right = 96.98165584, pn_left = -1004.943851, f = -1.213624876
ecurr = -0.59, pn_right = 86.43082611, pn_left = -1005.667574, f = -1.18804911
ecurr = -0.58, pn_right = 76.95024168, pn_left = -1025.02564, f = -1.162329371
ecurr = -0.57, pn_right = 68.43879684, pn_left = -1071.464657, f = -1.136464671
ecurr = -0.56, pn_right = 60.80427326, pn_left = -1161.793103, f = -1.110453933
ecurr = -0.55, pn_right = 53.96261356, pn_left = -1334.275283, f = -1.084295992
ecurr = -0.54, pn_right = 47.83725011, pn_left = -1697.693831, f = -1.057989586
ecurr = -0.53, pn_right = 42.35848515, pn_left = -2728.941983, f = -1.031533347
ecurr = -0.52, pn_right = 37.46291842, pn_left = -15248.36512, f = -1.004925798
