ecurr = -13, pn_right = 1.047447246e+24, pn_left = -7.920698924e+23, f = 7.203133376
ecurr = -12.99, pn_right = 1.015841257e+24, pn_left = -7.67768609e+23, f = 7.189869101
ecurr = -12.98, pn_right = 9.851158495e+23, pn_left = -7.441220819e+23, f = 7.175446688
ecurr = -12.97, pn_right = 9.552483528e+23, pn_left = -7.211153498e+23, f = 7.159877853
ecurr = -12.96, pn_right = 9.262166283e+23, pn_left = -6.987336872e+23, f = 7.143174373
ecurr = -12.95, pn_right = 8.979990588e+23, pn_left = -6.76962606e+23, f = 7.12534808
ecurr = -12.94, pn_right = 8.705745376e+23, pn_left = -6.557878577e+23, f = 7.106410863
ecurr = -12.93, pn_right = 8.439224579e+23, pn_left = -6.351954342e+23, f = 7.086374664
ecurr = -12.92, pn_right = 8.180227024e+23, pn_left = -6.151715687e+23, f = 7.065251472
ecurr = -12.91, pn_right = 7.92855633e+23, pn_left = -5.957027358e+23, f = 7.043053326
ecurr = -12.9, pn_right = 7.684020807e+23, pn_left = -5.767756517e+23, f = 7.019792306
ecurr = -12.89, pn_right = 7.446433358e+23, pn_left = -5.58377274e+23, f = 6.995480537
ecurr = -12.88, pn_right = 7.215611378e+23, pn_left = -5.40494801e+23, f = 6.97013018
ecurr = -12.87, pn_right = 6.991376662e+23, pn_left = -5.231156706e+23, f = 6.943753436
ecurr = -12.86, pn_right = 6.77355531e+23, pn_left = -5.062275596e+23, f = 6.916362538
ecurr = -12.85, pn_right = 6.561977632e+23, pn_left = -4.898183819e+23, f = 6.88796975
ecurr = -12.84, pn_right = 6.356478059e+23, pn_left = -4.738762874e+23, f = 6.858587369
ecurr = -12.83, pn_right = 6.156895054e+23, pn_left = -4.583896598e+23, f = 6.828227716
ecurr = -12.82, pn_right = 5.963071023e+23, pn_left = -4.433471151e+23, f = 6.796903138
ecurr = -12.81, pn_right = 5.77485223e+23, pn_left = -4.28737499e+23, f = 6.764626004
ecurr = -12.8, pn_right = 5.592088711e+23, pn_left = -4.145498853e+23, f = 6.731408704
ecurr = -12.79, pn_right = 5.414634193e+23, pn_left = -4.00773573e+23, f = 6.697263644
ecurr = -12.78, pn_right = 5.242346009e+23, pn_left = -3.873980843e+23, f = 6.662203249
ecurr = -12.77, pn_right = 5.075085022e+23, pn_left = -3.744131616e+23, f = 6.626239956
ecurr = -12.76, pn_right = 4.912715544e+23, pn_left = -3.61808765e+23, f = 6.589386212
ecurr = -12.75, pn_right = 4.75510526e+23, pn_left = -3.495750698e+23, f = 6.551654477
ecurr = -12.74, pn_right = 4.602125153e+23, pn_left = -3.377024632e+23, f = 6.513057216
ecurr = -12.73, pn_right = 4.453649426e+23, pn_left = -3.26181542e+23, f = 6.4736069
ecurr = -12.72, pn_right = 4.309555435e+23, pn_left = -3.15003109e+23, f = 6.433316004
ecurr = -12.71, pn_right = 4.169723613e+23, pn_left = -3.041581706e+23, f = 6.392197004
ecurr = -12.7, pn_right = 4.034037404e+23, pn_left = -2.936379334e+23, f = 6.350262375
ecurr = -12.69, pn_right = 3.902383189e+23, pn_left = -2.834338014e+23, f = 6.307524591
ecurr = -12.68, pn_right = 3.774650226e+23, pn_left = -2.735373728e+23, f = 6.263996121
ecurr = -12.67, pn_right = 3.650730577e+23, pn_left = -2.639404366e+23, f = 6.219689429
ecurr = -12.66, pn_right = 3.530519047e+23, pn_left = -2.546349701e+23, f = 6.17461697
ecurr = -12.65, pn_right = 3.413913123e+23, pn_left = -2.456131353e+23, f = 6.12879119
ecurr = -12.64, pn_right = 3.300812907e+23, pn_left = -2.368672759e+23, f = 6.082224523
ecurr = -12.63, pn_right = 3.191121056e+23, pn_left = -2.283899141e+23, f = 6.034929393
ecurr = -12.62, pn_right = 3.084742726e+23, pn_left = -2.201737477e+23, f = 5.986918204
ecurr = -12.61, pn_right = 2.981585513e+23, pn_left = -2.122116465e+23, f = 5.938203349
ecurr = -12.6, pn_right = 2.881559389e+23, pn_left = -2.044966496e+23, f = 5.8887972
ecurr = -12.59, pn_right = 2.784576657e+23, pn_left = -1.970219623e+23, f = 5.838712111
ecurr = -12.58, pn_right = 2.690551888e+23, pn_left = -1.897809525e+23, f = 5.787960412
ecurr = -12.57, pn_right = 2.59940187e+23, pn_left = -1.827671484e+23, f = 5.736554415
ecurr = -12.56, pn_right = 2.511045554e+23, pn_left = -1.759742346e+23, f = 5.684506404
ecurr = -12.55, pn_right = 2.425404006e+23, pn_left = -1.693960497e+23, f = 5.631828639
ecurr = -12.54, pn_right = 2.342400354e+23, pn_left = -1.630265832e+23, f = 5.578533353
ecurr = -12.53, pn_right = 2.261959738e+23, pn_left = -1.568599721e+23, f = 5.524632749
ecurr = -12.52, pn_right = 2.184009263e+23, pn_left = -1.508904984e+23, f = 5.470139001
ecurr = -12.51, pn_right = 2.108477953e+23, pn_left = -1.451125861e+23, f = 5.415064253
ecurr = -12.5, pn_right = 2.035296701e+23, pn_left = -1.395207981e+23, f = 5.359420614
ecurr = -12.49, pn_right = 1.964398228e+23, pn_left = -1.341098334e+23, f = 5.30322016
ecurr = -12.48, pn_right = 1.895717035e+23, pn_left = -1.288745245e+23, f = 5.246474932
ecurr = -12.47, pn_right = 1.829189364e+23, pn_left = -1.238098344e+23, f = 5.189196934
ecurr = -12.46, pn_right = 1.764753151e+23, pn_left = -1.189108538e+23, f = 5.131398131
ecurr = -12.45, pn_right = 1.702347986e+23, pn_left = -1.141727986e+23, f = 5.073090452
ecurr = -12.44, pn_right = 1.641915076e+23, pn_left = -1.095910069e+23, f = 5.014285783
ecurr = -12.43, pn_right = 1.583397199e+23, pn_left = -1.051609367e+23, f = 4.954995969
ecurr = -12.42, pn_right = 1.526738672e+23, pn_left = -1.008781631e+23, f = 4.895232812
ecurr = -12.41, pn_right = 1.471885307e+23, pn_left = -9.673837576e+22, f = 4.835008071
ecurr = -12.4, pn_right = 1.418784379e+23, pn_left = -9.273737636e+22, f = 4.774333461
