ecurr = -15, pn_right = 1.073603902e+26, pn_left = -1.265191129e+26, f = -12.20746846
ecurr = -14.99, pn_right = 1.063144496e+26, pn_left = -1.253273088e+26, f = -12.18342577
ecurr = -14.98, pn_right = 1.052402403e+26, pn_left = -1.241109781e+26, f = -12.15380239
ecurr = -14.97, pn_right = 1.041401383e+26, pn_left = -1.228724955e+26, f = -12.11874362
ecurr = -14.96, pn_right = 1.030164122e+26, pn_left = -1.216141304e+26, f = -12.07839261
ecurr = -14.95, pn_right = 1.018712269e+26, pn_left = -1.203380517e+26, f = -12.03289037
ecurr = -14.94, pn_right = 1.007066476e+26, pn_left = -1.19046331e+26, f = -11.9823758
ecurr = -14.93, pn_right = 9.952464373e+25, pn_left = -1.177409472e+26, f = -11.92698568
ecurr = -14.92, pn_right = 9.832709221e+25, pn_left = -1.164237898e+26, f = -11.86685475
ecurr = -14.91, pn_right = 9.711578118e+25, pn_left = -1.150966627e+26, f = -11.80211568
ecurr = -14.9, pn_right = 9.589241333e+25, pn_left = -1.137612878e+26, f = -11.73289912
ecurr = -14.89, pn_right = 9.465860915e+25, pn_left = -1.124193082e+26, f = -11.65933372
ecurr = -14.88, pn_right = 9.34159101e+25, pn_left = -1.110722921e+26, f = -11.58154613
ecurr = -14.87, pn_right = 9.216578161e+25, pn_left = -1.097217353e+26, f = -11.49966106
ecurr = -14.86, pn_right = 9.090961607e+25, pn_left = -1.083690651e+26, f = -11.41380127
ecurr = -14.85, pn_right = 8.964873562e+25, pn_left = -1.070156428e+26, f = -11.32408761
ecurr = -14.84, pn_right = 8.838439495e+25, pn_left = -1.056627673e+26, f = -11.23063902
ecurr = -14.83, pn_right = 8.711778388e+25, pn_left = -1.043116774e+26, f = -11.13357258
ecurr = -14.82, pn_right = 8.585002996e+25, pn_left = -1.029635553e+26, f = -11.0330035
ecurr = -14.81, pn_right = 8.458220092e+25, pn_left = -1.016195292e+26, f = -10.92904517
ecurr = -14.8, pn_right = 8.331530705e+25, pn_left = -1.002806758e+26, f = -10.82180915
ecurr = -14.79, pn_right = 8.205030348e+25, pn_left = -9.894802355e+25, f = -10.71140522
