ecurr = -6, pn_right = -8.567091974e+14, pn_left = 4.951313436e+14, f = 3.738726049
ecurr = -5.99, pn_right = -8.223622224e+14, pn_left = 4.74362325e+14, f = 3.726221063
ecurr = -5.98, pn_right = -7.893444298e+14, pn_left = 4.54416484e+14, f = 3.713517876
ecurr = -5.97, pn_right = -7.576061391e+14, pn_left = 4.352629063e+14, f = 3.700617615
ecurr = -5.96, pn_right = -7.270994635e+14, pn_left = 4.168717762e+14, f = 3.687521413
ecurr = -5.95, pn_right = -6.977782473e+14, pn_left = 3.992143401e+14, f = 3.67423041
ecurr = -5.94, pn_right = -6.695980055e+14, pn_left = 3.822628704e+14, f = 3.660745755
ecurr = -5.93, pn_right = -6.425158653e+14, pn_left = 3.659906318e+14, f = 3.647068603
ecurr = -5.92, pn_right = -6.164905099e+14, pn_left = 3.503718471e+14, f = 3.633200117
ecurr = -5.91, pn_right = -5.914821236e+14, pn_left = 3.353816653e+14, f = 3.619141468
ecurr = -5.9, pn_right = -5.674523398e+14, pn_left = 3.209961302e+14, f = 3.604893833
ecurr = -5.89, pn_right = -5.443641893e+14, pn_left = 3.071921501e+14, f = 3.590458395
ecurr = -5.88, pn_right = -5.221820518e+14, pn_left = 2.939474681e+14, f = 3.575836347
ecurr = -5.87, pn_right = -5.008716079e+14, pn_left = 2.812406341e+14, f = 3.561028886
ecurr = -5.86, pn_right = -4.803997938e+14, pn_left = 2.690509769e+14, f = 3.546037217
ecurr = -5.85, pn_right = -4.607347562e+14, pn_left = 2.573585774e+14, f = 3.530862553
ecurr = -5.84, pn_right = -4.418458102e+14, pn_left = 2.461442434e+14, f = 3.51550611
ecurr = -5.83, pn_right = -4.237033975e+14, pn_left = 2.353894839e+14, f = 3.499969114
ecurr = -5.82, pn_right = -4.062790469e+14, pn_left = 2.250764852e+14, f = 3.484252796
ecurr = -5.81, pn_right = -3.895453351e+14, pn_left = 2.151880876e+14, f = 3.468358393
ecurr = -5.8, pn_right = -3.734758499e+14, pn_left = 2.057077625e+14, f = 3.45228715
ecurr = -5.79, pn_right = -3.580451543e+14, pn_left = 1.966195906e+14, f = 3.436040315
ecurr = -5.78, pn_right = -3.432287514e+14, pn_left = 1.879082407e+14, f = 3.419619145
ecurr = -5.77, pn_right = -3.290030511e+14, pn_left = 1.795589492e+14, f = 3.403024903
ecurr = -5.76, pn_right = -3.153453375e+14, pn_left = 1.715575001e+14, f = 3.386258855
ecurr = -5.75, pn_right = -3.02233738e+14, pn_left = 1.638902061e+14, f = 3.369322277
ecurr = -5.74, pn_right = -2.896471927e+14, pn_left = 1.565438894e+14, f = 3.352216446
ecurr = -5.73, pn_right = -2.775654253e+14, pn_left = 1.495058647e+14, f = 3.334942649
ecurr = -5.72, pn_right = -2.659689153e+14, pn_left = 1.427639211e+14, f = 3.317502175
ecurr = -5.71, pn_right = -2.548388706e+14, pn_left = 1.363063054e+14, f = 3.299896322
ecurr = -5.7, pn_right = -2.44157201e+14, pn_left = 1.301217062e+14, f = 3.282126391
ecurr = -5.69, pn_right = -2.339064934e+14, pn_left = 1.241992378e+14, f = 3.264193689
ecurr = -5.68, pn_right = -2.24069987e+14, pn_left = 1.185284256e+14, f = 3.246099527
ecurr = -5.67, pn_right = -2.146315499e+14, pn_left = 1.130991907e+14, f = 3.227845223
ecurr = -5.66, pn_right = -2.055756561e+14, pn_left = 1.079018363e+14, f = 3.2094321
ecurr = -5.65, pn_right = -1.968873638e+14, pn_left = 1.029270339e+14, f = 3.190861485
ecurr = -5.64, pn_right = -1.885522943e+14, pn_left = 9.816580997e+13, f = 3.17213471
ecurr = -5.63, pn_right = -1.80556611e+14, pn_left = 9.360953305e+13, f = 3.153253112
ecurr = -5.62, pn_right = -1.728870001e+14, pn_left = 8.924990176e+13, f = 3.134218033
ecurr = -5.61, pn_right = -1.655306516e+14, pn_left = 8.507893258e+13, f = 3.115030818
ecurr = -5.6, pn_right = -1.584752406e+14, pn_left = 8.108894845e+13, f = 3.09569282
ecurr = -5.59, pn_right = -1.517089098e+14, pn_left = 7.727256761e+13, f = 3.076205394
ecurr = -5.58, pn_right = -1.452202524e+14, pn_left = 7.362269286e+13, f = 3.056569898
ecurr = -5.57, pn_right = -1.389982953e+14, pn_left = 7.013250119e+13, f = 3.036787698
ecurr = -5.56, pn_right = -1.330324838e+14, pn_left = 6.679543372e+13, f = 3.016860162
ecurr = -5.55, pn_right = -1.273126653e+14, pn_left = 6.36051861e+13, f = 2.996788662
ecurr = -5.54, pn_right = -1.218290756e+14, pn_left = 6.055569909e+13, f = 2.976574574
ecurr = -5.53, pn_right = -1.165723238e+14, pn_left = 5.764114957e+13, f = 2.95621928
ecurr = -5.52, pn_right = -1.115333786e+14, pn_left = 5.485594188e+13, f = 2.935724162
ecurr = -5.51, pn_right = -1.067035555e+14, pn_left = 5.219469934e+13, f = 2.915090611
ecurr = -5.5, pn_right = -1.020745035e+14, pn_left = 4.965225619e+13, f = 2.894320017
ecurr = -5.49, pn_right = -9.763819285e+13, pn_left = 4.722364976e+13, f = 2.873413775
ecurr = -5.48, pn_right = -9.338690332e+13, pn_left = 4.490411291e+13, f = 2.852373286
ecurr = -5.47, pn_right = -8.93132125e+13, pn_left = 4.268906674e+13, f = 2.831199952
ecurr = -5.46, pn_right = -8.540998481e+13, pn_left = 4.057411357e+13, f = 2.809895178
ecurr = -5.45, pn_right = -8.167036079e+13, pn_left = 3.855503017e+13, f = 2.788460374
ecurr = -5.44, pn_right = -7.808774683e+13, pn_left = 3.662776116e+13, f = 2.766896952
ecurr = -5.43, pn_right = -7.465580522e+13, pn_left = 3.478841279e+13, f = 2.745206329
ecurr = -5.42, pn_right = -7.136844456e+13, pn_left = 3.303324677e+13, f = 2.723389922
ecurr = -5.41, pn_right = -6.821981059e+13, pn_left = 3.135867444e+13, f = 2.701449153
ecurr = -5.4, pn_right = -6.520427723e+13, pn_left = 2.976125113e+13, f = 2.679385448
