ecurr = -9, pn_right = -2.405759435e+19, pn_left = 6.025878076e+19, f = -2.3291053
ecurr = -8.99, pn_right = -2.338442935e+19, pn_left = 5.961138926e+19, f = -2.290995955
ecurr = -8.98, pn_right = -2.27292139e+19, pn_left = 5.901505173e+19, f = -2.252787052
ecurr = -8.97, pn_right = -2.209149728e+19, pn_left = 5.847161689e+19, f = -2.214481839
ecurr = -8.96, pn_right = -2.147083922e+19, pn_left = 5.798327758e+19, f = -2.176083559
ecurr = -8.95, pn_right = -2.086680966e+19, pn_left = 5.755262751e+19, f = -2.137595446
ecurr = -8.94, pn_right = -2.027898855e+19, pn_left = 5.718273029e+19, f = -2.099020728
ecurr = -8.93, pn_right = -1.970696563e+19, pn_left = 5.687720387e+19, f = -2.060362621
ecurr = -8.92, pn_right = -1.915034025e+19, pn_left = 5.664032468e+19, f = -2.021624337
ecurr = -8.91, pn_right = -1.860872117e+19, pn_left = 5.647715685e+19, f = -1.982809077
ecurr = -8.9, pn_right = -1.808172633e+19, pn_left = 5.639371394e+19, f = -1.943920034
ecurr = -8.89, pn_right = -1.756898271e+19, pn_left = 5.639716317e+19, f = -1.904960392
ecurr = -8.88, pn_right = -1.70701261e+19, pn_left = 5.649608553e+19, f = -1.865933327
ecurr = -8.87, pn_right = -1.658480092e+19, pn_left = 5.670081069e+19, f = -1.826842003
ecurr = -8.86, pn_right = -1.611266006e+19, pn_left = 5.702385284e+19, f = -1.787689577
ecurr = -8.85, pn_right = -1.565336467e+19, pn_left = 5.748048493e+19, f = -1.748479196
ecurr = -8.84, pn_right = -1.520658401e+19, pn_left = 5.808950526e+19, f = -1.709213998
ecurr = -8.83, pn_right = -1.477199524e+19, pn_left = 5.887427618e+19, f = -1.669897108
ecurr = -8.82, pn_right = -1.43492833e+19, pn_left = 5.986415441e+19, f = -1.630531646
ecurr = -8.81, pn_right = -1.393814069e+19, pn_left = 6.109649704e+19, f = -1.591120716
ecurr = -8.8, pn_right = -1.353826736e+19, pn_left = 6.261953247e+19, f = -1.551667417
ecurr = -8.79, pn_right = -1.31493705e+19, pn_left = 6.449656549e+19, f = -1.512174832
ecurr = -8.78, pn_right = -1.277116438e+19, pn_left = 6.681230019e+19, f = -1.472646039
ecurr = -8.77, pn_right = -1.240337027e+19, pn_left = 6.968263896e+19, f = -1.4330841
ecurr = -8.76, pn_right = -1.204571616e+19, pn_left = 7.32704122e+19, f = -1.393492069
ecurr = -8.75, pn_right = -1.169793675e+19, pn_left = 7.781169587e+19, f = -1.353872988
