ecurr = 0, pn_right = 0.0001817703316, pn_left = 3.613585935e-06, f = 0.9610151087
ecurr = 0.01, pn_right = -4.12942992e-05, pn_left = -2.154186341e-05, f = 0.3143482188
ecurr = 0.02, pn_right = -0.000150521169, pn_left = -1.26326247e-05, f = 0.8451445791
ecurr = 0.015, pn_right = -0.0001076779595, pn_left = -1.687149147e-05, f = 0.7290796333
ecurr = 0.01, pn_right = -4.12942992e-05, pn_left = -2.154186341e-05, f = 0.3143482188
ecurr = 0.005, pn_right = 5.339486118e-05, pn_left = -7.138110085e-06, f = 1.30862998
ecurr = 0.0075, pn_right = 2.19089482e-06, pn_left = -7.505766121e-07, f = 2.042237206
ecurr = 0.00625, pn_right = 2.678572979e-05, pn_left = -7.125388997e-06, f = 1.724848981
ecurr = 0.005, pn_right = 5.339486118e-05, pn_left = -7.138110085e-06, f = 1.30862998
ecurr = 0.00375, pn_right = 8.210609511e-05, pn_left = -5.637732976e-06, f = 1.147452693
ecurr = 0.0025, pn_right = 0.0001130098707, pn_left = -3.261923841e-06, f = 1.059443915
ecurr = 0.00125, pn_right = 0.0001461993205, pn_left = -1.664837487e-07, f = 1.002280086
ecurr = -3.035766083e-18, pn_right = 0.0001817703316, pn_left = 3.613585935e-06, f = 0.9610151087
ecurr = -0.00125, pn_right = 0.0002198216083, pn_left = 8.086519806e-06, f = 0.9290370214
ecurr = -0.0025, pn_right = 0.0002604547358, pn_left = 1.328012708e-05, f = 0.9029708753
ecurr = -0.00375, pn_right = 0.0003037742453, pn_left = 1.923290715e-05, f = 0.8809134286
ecurr = -0.005, pn_right = 0.0003498876793, pn_left = 2.599022529e-05, f = 0.8617092148
ecurr = -0.00625, pn_right = 0.0003989056596, pn_left = 3.36025078e-05, f = 0.844615615
ecurr = -0.0075, pn_right = 0.0004509419553, pn_left = 4.212434041e-05, f = 0.8291331581
ecurr = -0.00875, pn_right = 0.0005061135527, pn_left = 5.161400775e-05, f = 0.8149131891
ecurr = -0.01, pn_right = 0.0005645407262, pn_left = 6.213326476e-05, f = 0.8017046641
ecurr = -0.01125, pn_right = 0.0006263471103, pn_left = 7.374723754e-05, f = 0.7893220028
